trial_type,trial_index,time_elapsed,internal_node_id,subject,hitId,assignmentId,structure_condition,match_condition,noise_type,success,timeout,failed_images,failed_audio,failed_video,view_history,rt,start_time,end_time,stimuli,image1,image2,image3,image4,choiceLocation,choiceImage,choiceEmotion,choiceModel,choice_index,reward_score,reward,reward_score_unadjusted,reward_image,score_after_trial,emotions,models,rewards,rewards_unadjusted,stimulus,response,question_order,file_name,n
explore-choice,170,394429,0.0-170.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,1205,393815,395020,"[""stimuli/AF02_DO.jpg"",""stimuli/BM04_CC.jpg"",""stimuli/WF14_HE.jpg"",""stimuli/HM10_FO.jpg""]",stimuli/AF02_DO.jpg,stimuli/BM04_CC.jpg,stimuli/WF14_HE.jpg,stimuli/HM10_FO.jpg,pos4,stimuli/HM10_FO.jpg,FO,HM10,3,0,0,2,stimuli/stars_0.png,216,"[""DO"",""CC"",""HE"",""FO""]","[""AF02"",""BM04"",""WF14"",""HM10""]","[8,6,3,0]","[8,6,4,2]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
show-reward,171,396434,0.0-171.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,NA,395524,397526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,stimuli/stars_0.png,216,NA,NA,NA,NA,stimuli/HM10_FO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
explore-choice,172,398450,0.0-172.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,1514,397527,399041,"[""stimuli/BM04_CC.jpg"",""stimuli/AF02_FO.jpg"",""stimuli/WF14_DO.jpg"",""stimuli/HM10_HE.jpg""]",stimuli/BM04_CC.jpg,stimuli/AF02_FO.jpg,stimuli/WF14_DO.jpg,stimuli/HM10_HE.jpg,pos4,stimuli/HM10_HE.jpg,HE,HM10,3,2.5,5,4,stimuli/stars_5.png,218.5,"[""CC"",""FO"",""DO"",""HE""]","[""BM04"",""AF02"",""WF14"",""HM10""]","[5,3,6,5]","[6,2,8,4]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
show-reward,173,400454,0.0-173.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,NA,399544,401546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,stimuli/stars_5.png,218.5,NA,NA,NA,NA,stimuli/HM10_HE.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
explore-choice,174,404005,0.0-174.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,3048,401547,404595,"[""stimuli/WF14_CC.jpg"",""stimuli/AF02_DO.jpg"",""stimuli/HM10_HE.jpg"",""stimuli/BM04_FO.jpg""]",stimuli/WF14_CC.jpg,stimuli/AF02_DO.jpg,stimuli/HM10_HE.jpg,stimuli/BM04_FO.jpg,pos4,stimuli/BM04_FO.jpg,FO,BM04,3,1.5,3,2,stimuli/stars_3.png,220,"[""CC"",""DO"",""HE"",""FO""]","[""WF14"",""AF02"",""HM10"",""BM04""]","[5,6,4,3]","[6,8,4,2]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
show-reward,175,406009,0.0-175.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,NA,405099,407101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,stimuli/stars_3.png,220,NA,NA,NA,NA,stimuli/BM04_FO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
explore-choice,176,407472,0.0-176.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,961,407101,408062,"[""stimuli/WF14_FO.jpg"",""stimuli/BM04_CC.jpg"",""stimuli/HM10_HE.jpg"",""stimuli/AF02_DO.jpg""]",stimuli/WF14_FO.jpg,stimuli/BM04_CC.jpg,stimuli/HM10_HE.jpg,stimuli/AF02_DO.jpg,pos4,stimuli/AF02_DO.jpg,DO,AF02,3,4,8,8,stimuli/stars_8.png,224,"[""FO"",""CC"",""HE"",""DO""]","[""WF14"",""BM04"",""HM10"",""AF02""]","[3,5,4,8]","[2,6,4,8]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
show-reward,177,409476,0.0-177.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,NA,408565,410568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,stimuli/stars_8.png,224,NA,NA,NA,NA,stimuli/AF02_DO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
explore-choice,178,411101,0.0-178.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,1122.0000000000582,410569,411691.00000000006,"[""stimuli/HM10_HE.jpg"",""stimuli/BM04_FO.jpg"",""stimuli/AF02_CC.jpg"",""stimuli/WF14_DO.jpg""]",stimuli/HM10_HE.jpg,stimuli/BM04_FO.jpg,stimuli/AF02_CC.jpg,stimuli/WF14_DO.jpg,pos4,stimuli/WF14_DO.jpg,DO,WF14,3,4.5,9,8,stimuli/stars_9.png,228.5,"[""HE"",""FO"",""CC"",""DO""]","[""HM10"",""BM04"",""AF02"",""WF14""]","[5,2,8,9]","[4,2,6,8]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
show-reward,179,413104,0.0-179.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,NA,412194,414196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,stimuli/stars_9.png,228.5,NA,NA,NA,NA,stimuli/WF14_DO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
