"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus"
"show-reward","30","141772","0.0-30.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","141299.5","143309.5","","","","","","","","","","","","7","","stimuli/stars_7.png","34.5","","","","","stimuli/AM06_SC.jpg"
"explore-choice","31","152042","0.0-31.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","9767.20000000298","143311.09999999404","153078.29999999702","[""stimuli/HM07_SC.jpg"",""stimuli/BM16_SUR.jpg"",""stimuli/AM06_CC.jpg"",""stimuli/HF09_HO.jpg""]","stimuli/HM07_SC.jpg","stimuli/BM16_SUR.jpg","stimuli/AM06_CC.jpg","stimuli/HF09_HO.jpg","pos1","stimuli/HM07_SC.jpg","SC","HM07","0","3","6","8","stimuli/stars_6.png","37.5","[""SC"",""SUR"",""CC"",""HO""]","[""HM07"",""BM16"",""AM06"",""HF09""]","[6,8,5,1]","[8,6,4,2]",""
"show-reward","32","154050","0.0-32.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","153580.79999999702","155587.69999999553","","","","","","","","","","","","6","","stimuli/stars_6.png","37.5","","","","","stimuli/HM07_SC.jpg"
"explore-choice","33","200003","0.0-33.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","45451.29999999702","155589.29999999702","201040.59999999404","[""stimuli/BM16_HO.jpg"",""stimuli/AM06_SUR.jpg"",""stimuli/HM07_CC.jpg"",""stimuli/HF09_SC.jpg""]","stimuli/BM16_HO.jpg","stimuli/AM06_SUR.jpg","stimuli/HM07_CC.jpg","stimuli/HF09_SC.jpg","pos4","stimuli/HF09_SC.jpg","SC","HF09","3","4","8","8","stimuli/stars_8.png","41.5","[""HO"",""SUR"",""CC"",""SC""]","[""BM16"",""AM06"",""HM07"",""HF09""]","[2,5,6,8]","[2,6,4,8]",""
"show-reward","34","202008","0.0-34.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","201545.3999999985","203548.3999999985","","","","","","","","","","","","8","","stimuli/stars_8.png","41.5","","","","","stimuli/HF09_SC.jpg"
"explore-choice","35","204097","0.0-35.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","1583.3000000044703","203550.19999999553","205133.5","[""stimuli/AM06_CC.jpg"",""stimuli/HF09_SUR.jpg"",""stimuli/HM07_HO.jpg"",""stimuli/BM16_SC.jpg""]","stimuli/AM06_CC.jpg","stimuli/HF09_SUR.jpg","stimuli/HM07_HO.jpg","stimuli/BM16_SC.jpg","pos4","stimuli/BM16_SC.jpg","SC","BM16","3","5","10","8","stimuli/stars_10.png","46.5","[""CC"",""SUR"",""HO"",""SC""]","[""AM06"",""HF09"",""HM07"",""BM16""]","[5,6,4,10]","[4,6,2,8]",""
"show-reward","36","206108","0.0-36.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","205638.69999999553","207648.69999999553","","","","","","","","","","","","10","","stimuli/stars_10.png","46.5","","","","","stimuli/BM16_SC.jpg"
"explore-choice","37","208466","0.0-37.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","1853.3999999985099","207650.29999999702","209503.69999999553","[""stimuli/AM06_HO.jpg"",""stimuli/BM16_SUR.jpg"",""stimuli/HF09_SC.jpg"",""stimuli/HM07_CC.jpg""]","stimuli/AM06_HO.jpg","stimuli/BM16_SUR.jpg","stimuli/HF09_SC.jpg","stimuli/HM07_CC.jpg","pos3","stimuli/HF09_SC.jpg","SC","HF09","2","3.5","7","8","stimuli/stars_7.png","50","[""HO"",""SUR"",""SC"",""CC""]","[""AM06"",""BM16"",""HF09"",""HM07""]","[3,6,7,3]","[2,6,8,4]",""
"show-reward","38","210477","0.0-38.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","210008.5","212018.09999999404","","","","","","","","","","","","7","","stimuli/stars_7.png","50","","","","","stimuli/HF09_SC.jpg"
"explore-choice","39","212124","0.0-39.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","1141.2000000029802","212019.69999999553","213160.8999999985","[""stimuli/HM07_HO.jpg"",""stimuli/HF09_SC.jpg"",""stimuli/BM16_SUR.jpg"",""stimuli/AM06_CC.jpg""]","stimuli/HM07_HO.jpg","stimuli/HF09_SC.jpg","stimuli/BM16_SUR.jpg","stimuli/AM06_CC.jpg","pos2","stimuli/HF09_SC.jpg","SC","HF09","1","3","6","8","stimuli/stars_6.png","53","[""HO"",""SC"",""SUR"",""CC""]","[""HM07"",""HF09"",""BM16"",""AM06""]","[2,6,7,3]","[2,8,6,4]",""
"show-reward","40","214135","0.0-40.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","213666.19999999553","215676","","","","","","","","","","","","6","","stimuli/stars_6.png","53","","","","","stimuli/HF09_SC.jpg"
"explore-choice","41","216065","0.0-41.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","1421.8000000044703","215677.59999999404","217099.3999999985","[""stimuli/HM07_SUR.jpg"",""stimuli/HF09_SC.jpg"",""stimuli/BM16_HO.jpg"",""stimuli/AM06_CC.jpg""]","stimuli/HM07_SUR.jpg","stimuli/HF09_SC.jpg","stimuli/BM16_HO.jpg","stimuli/AM06_CC.jpg","pos2","stimuli/HF09_SC.jpg","SC","HF09","1","3.5","7","8","stimuli/stars_7.png","56.5","[""SUR"",""SC"",""HO"",""CC""]","[""HM07"",""HF09"",""BM16"",""AM06""]","[4,7,2,4]","[6,8,2,4]",""
"show-reward","42","218074","0.0-42.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","217607.5","219615.29999999702","","","","","","","","","","","","7","","stimuli/stars_7.png","56.5","","","","","stimuli/HF09_SC.jpg"
"explore-choice","43","221596","0.0-43.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","3016.7000000029802","219616.69999999553","222633.3999999985","[""stimuli/BM16_SC.jpg"",""stimuli/AM06_CC.jpg"",""stimuli/HM07_SUR.jpg"",""stimuli/HF09_HO.jpg""]","stimuli/BM16_SC.jpg","stimuli/AM06_CC.jpg","stimuli/HM07_SUR.jpg","stimuli/HF09_HO.jpg","pos1","stimuli/BM16_SC.jpg","SC","BM16","0","4","8","8","stimuli/stars_8.png","60.5","[""SC"",""CC"",""SUR"",""HO""]","[""BM16"",""AM06"",""HM07"",""HF09""]","[8,2,5,1]","[8,4,6,2]",""
"show-reward","44","223602","0.0-44.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","223138.59999999404","225144","","","","","","","","","","","","8","","stimuli/stars_8.png","60.5","","","","","stimuli/BM16_SC.jpg"
"explore-choice","45","236272","0.0-45.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","12164.19999999553","225145.3999999985","237309.59999999404","[""stimuli/HM07_HO.jpg"",""stimuli/BM16_SUR.jpg"",""stimuli/AM06_SC.jpg"",""stimuli/HF09_CC.jpg""]","stimuli/HM07_HO.jpg","stimuli/BM16_SUR.jpg","stimuli/AM06_SC.jpg","stimuli/HF09_CC.jpg","pos3","stimuli/AM06_SC.jpg","SC","AM06","2","3.5","7","8","stimuli/stars_7.png","64","[""HO"",""SUR"",""SC"",""CC""]","[""HM07"",""BM16"",""AM06"",""HF09""]","[1,5,7,5]","[2,6,8,4]",""
"show-reward","46","238280","0.0-46.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","237816","239822.3999999985","","","","","","","","","","","","7","","stimuli/stars_7.png","64","","","","","stimuli/AM06_SC.jpg"
"explore-choice","47","260906","0.0-47.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","22123.60000000149","239823.79999999702","261947.3999999985","[""stimuli/HM07_SC.jpg"",""stimuli/BM16_CC.jpg"",""stimuli/AM06_HO.jpg"",""stimuli/HF09_SUR.jpg""]","stimuli/HM07_SC.jpg","stimuli/BM16_CC.jpg","stimuli/AM06_HO.jpg","stimuli/HF09_SUR.jpg","pos1","stimuli/HM07_SC.jpg","SC","HM07","0","3","6","8","stimuli/stars_6.png","67","[""SC"",""CC"",""HO"",""SUR""]","[""HM07"",""BM16"",""AM06"",""HF09""]","[6,5,1,4]","[8,4,2,6]",""
"show-reward","48","262912","0.0-48.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","262450.8999999985","264455.8999999985","","","","","","","","","","","","6","","stimuli/stars_6.png","67","","","","","stimuli/HM07_SC.jpg"
"explore-choice","49","265301","0.0-49.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","1886.3999999985099","264457.3999999985","266343.799999997","[""stimuli/HM07_SUR.jpg"",""stimuli/BM16_CC.jpg"",""stimuli/HF09_SC.jpg"",""stimuli/AM06_HO.jpg""]","stimuli/HM07_SUR.jpg","stimuli/BM16_CC.jpg","stimuli/HF09_SC.jpg","stimuli/AM06_HO.jpg","pos3","stimuli/HF09_SC.jpg","SC","HF09","2","4","8","8","stimuli/stars_8.png","71","[""SUR"",""CC"",""SC"",""HO""]","[""HM07"",""BM16"",""HF09"",""AM06""]","[7,6,8,2]","[6,4,8,2]",""
"show-reward","50","267312","0.0-50.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","266846.19999999553","268856.19999999553","","","","","","","","","","","","8","","stimuli/stars_8.png","71","","","","","stimuli/HF09_SC.jpg"
"explore-choice","51","270121","0.0-51.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","2304.3000000044703","268857.69999999553","271162","[""stimuli/BM16_HO.jpg"",""stimuli/AM06_CC.jpg"",""stimuli/HM07_SC.jpg"",""stimuli/HF09_SUR.jpg""]","stimuli/BM16_HO.jpg","stimuli/AM06_CC.jpg","stimuli/HM07_SC.jpg","stimuli/HF09_SUR.jpg","pos3","stimuli/HM07_SC.jpg","SC","HM07","2","4.5","9","8","stimuli/stars_9.png","75.5","[""HO"",""CC"",""SC"",""SUR""]","[""BM16"",""AM06"",""HM07"",""HF09""]","[3,3,9,6]","[2,4,8,6]",""
"show-reward","52","272133","0.0-52.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","271667","273677","","","","","","","","","","","","9","","stimuli/stars_9.png","75.5","","","","","stimuli/HM07_SC.jpg"
"explore-choice","53","279725","0.0-53.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","7085.89999999851","273678.5","280764.3999999985","[""stimuli/AM06_SC.jpg"",""stimuli/BM16_CC.jpg"",""stimuli/HF09_HO.jpg"",""stimuli/HM07_SUR.jpg""]","stimuli/AM06_SC.jpg","stimuli/BM16_CC.jpg","stimuli/HF09_HO.jpg","stimuli/HM07_SUR.jpg","pos1","stimuli/AM06_SC.jpg","SC","AM06","0","3.5","7","8","stimuli/stars_7.png","79","[""SC"",""CC"",""HO"",""SUR""]","[""AM06"",""BM16"",""HF09"",""HM07""]","[7,2,2,4]","[8,4,2,6]",""
"show-reward","54","281736","0.0-54.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","281271.19999999553","283280.8999999985","","","","","","","","","","","","7","","stimuli/stars_7.png","79","","","","","stimuli/AM06_SC.jpg"
"explore-choice","55","284342","0.0-55.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","2104.0999999940395","283282.5","285386.59999999404","[""stimuli/BM16_SC.jpg"",""stimuli/AM06_CC.jpg"",""stimuli/HM07_SUR.jpg"",""stimuli/HF09_HO.jpg""]","stimuli/BM16_SC.jpg","stimuli/AM06_CC.jpg","stimuli/HM07_SUR.jpg","stimuli/HF09_HO.jpg","pos1","stimuli/BM16_SC.jpg","SC","BM16","0","4","8","8","stimuli/stars_8.png","83","[""SC"",""CC"",""SUR"",""HO""]","[""BM16"",""AM06"",""HM07"",""HF09""]","[8,2,5,1]","[8,4,6,2]",""
"show-reward","56","286347","0.0-56.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","285888.5","287892.3999999985","","","","","","","","","","","","8","","stimuli/stars_8.png","83","","","","","stimuli/BM16_SC.jpg"
"explore-choice","57","1008305","0.0-57.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","721427.799999997","287894.299999997","1009322.099999994","[""stimuli/AM06_HO.jpg"",""stimuli/HM07_SC.jpg"",""stimuli/HF09_SUR.jpg"",""stimuli/BM16_CC.jpg""]","stimuli/AM06_HO.jpg","stimuli/HM07_SC.jpg","stimuli/HF09_SUR.jpg","stimuli/BM16_CC.jpg","pos2","stimuli/HM07_SC.jpg","SC","HM07","1","3","6","8","stimuli/stars_6.png","86","[""HO"",""SC"",""SUR"",""CC""]","[""AM06"",""HM07"",""HF09"",""BM16""]","[1,6,4,5]","[2,8,6,4]",""
"show-reward","58","1010317","0.0-58.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1009824.6999999955","1011834.599999994","","","","","","","","","","","","6","","stimuli/stars_6.png","86","","","","","stimuli/HM07_SC.jpg"
"explore-choice","59","1013488","0.0-59.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","2667.2999999970198","1011836.299999997","1014503.599999994","[""stimuli/HF09_SUR.jpg"",""stimuli/AM06_SC.jpg"",""stimuli/HM07_CC.jpg"",""stimuli/BM16_HO.jpg""]","stimuli/HF09_SUR.jpg","stimuli/AM06_SC.jpg","stimuli/HM07_CC.jpg","stimuli/BM16_HO.jpg","pos2","stimuli/AM06_SC.jpg","SC","AM06","1","3.5","7","8","stimuli/stars_7.png","89.5","[""SUR"",""SC"",""CC"",""HO""]","[""HF09"",""AM06"",""HM07"",""BM16""]","[5,7,2,0]","[6,8,4,2]",""
"show-reward","60","1015498","0.0-60.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1015007.6999999955","1017016.5","","","","","","","","","","","","7","","stimuli/stars_7.png","89.5","","","","","stimuli/AM06_SC.jpg"
"explore-choice","61","1017989","0.0-61.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","1982.5","1017018.1999999955","1019000.6999999955","[""stimuli/HF09_CC.jpg"",""stimuli/BM16_SUR.jpg"",""stimuli/HM07_HO.jpg"",""stimuli/AM06_SC.jpg""]","stimuli/HF09_CC.jpg","stimuli/BM16_SUR.jpg","stimuli/HM07_HO.jpg","stimuli/AM06_SC.jpg","pos4","stimuli/AM06_SC.jpg","SC","AM06","3","3.5","7","8","stimuli/stars_7.png","93","[""CC"",""SUR"",""HO"",""SC""]","[""HF09"",""BM16"",""HM07"",""AM06""]","[5,5,1,7]","[4,6,2,8]",""
